2.41970562935	46.6364631653	
-4.81837272644	-22.7391929626	
-4.81837272644	-22.7391929626	
-2.60511422157	-68.2285308838	
-2.60511422157	-68.2285308838	
-5.50920152664	-96.1178588867	
-5.50920152664	-96.1178588867	
-9.49431991577	-111.000831604	
-19.2036247253	55.3901138306	
-26.670129776	-13.389257431	
-26.670129776	-13.389257431	
-26.2206878662	-60.6534461975	
-26.2206878662	-60.6534461975	
-28.8605422974	-88.5233078003	
-28.8605422974	-88.5233078003	
-32.0059890747	-104.860877991	
-17.9654331207	58.4609260559	
-24.5834560394	-9.78465557098	
-24.5834560394	-9.78465557098	
-22.9429092407	-57.352142334	
-22.9429092407	-57.352142334	
-24.735666275	-85.2672119141	
-24.735666275	-85.2672119141	
-27.2891960144	-101.977226257	
-15.7475404739	58.568523407	
-22.6819286346	-9.43441104889	
-22.6819286346	-9.43441104889	
-20.6887168884	-57.0787582397	
-20.6887168884	-57.0787582397	
-22.2782535553	-84.9327392578	
-22.2782535553	-84.9327392578	
-24.7011470795	-101.555252075	
-15.3405160904	58.9826698303	
-21.9591350555	-8.81905937195	
-21.9591350555	-8.81905937195	
-19.808681488	-56.4548568726	
-19.808681488	-56.4548568726	
-21.3881835938	-84.3056945801	
-21.3881835938	-84.3056945801	
-23.8418178558	-100.923324585	
-12.6416530609	58.8168869019	
-19.1777839661	-8.7445306778	
-19.1777839661	-8.7445306778	
-16.5969161987	-56.220703125	
-16.5969161987	-56.220703125	
-17.985616684	-84.0287322998	
-17.985616684	-84.0287322998	
-20.347530365	-100.383560181	
-15.2570724487	60.0167312622	
-20.8391647339	-7.18753433228	
-20.8391647339	-7.18753433228	
-18.6413669586	-54.9750480652	
-18.6413669586	-54.9750480652	
-20.1872787476	-82.6406784058	
-20.1872787476	-82.6406784058	
-22.5849285126	-98.9942932129	
-15.8048429489	59.9800071716	
-20.4417705536	-7.18190479279	
-20.4417705536	-7.18190479279	
-17.9616413116	-55.1411705017	
-17.9616413116	-55.1411705017	
-19.3316116333	-82.6900787354	
-19.3316116333	-82.6900787354	
-21.606344223	-99.0505142212	
-13.6958656311	61.3687095642	
-18.0751876831	-6.12105369568	
-18.0751876831	-6.12105369568	
-15.2642364502	-54.032081604	
-15.2642364502	-54.032081604	
-16.5456466675	-81.5473861694	
-16.5456466675	-81.5473861694	
-18.8279705048	-97.7518157959	
-15.5600271225	61.6930465698	
-19.6580924988	-5.55876302719	
-19.6580924988	-5.55876302719	
-17.0663871765	-53.5197257996	
-17.0663871765	-53.5197257996	
-18.43633461	-80.9862213135	
-18.43633461	-80.9862213135	
-20.740737915	-97.168762207	
